trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
251,False,"{'a': 0.2, 'e': 0.02285902088381318}",35,17,30.262994995059017,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.2, 'e': 0.02251613557055598}",20,13,14.098459098808435,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.2, 'e': 0.022178393536997642}",25,17,15.613574093017247,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.2, 'e': 0.021845717633942677}",25,19,3.9037691611667418,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.2, 'e': 0.021518031869433536}",20,11,18.16608694227201,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.2, 'e': 0.021195261391392033}",20,10,18.86661242249695,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.2, 'e': 0.020877332470521152}",20,16,8.41282710399868,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.2, 'e': 0.020564172483463334}",20,16,6.750725502354749,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.2, 'e': 0.020255709896211383}",20,16,9.034382792476991,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.2, 'e': 0.019951874247768214}",20,6,26.202696516716472,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.2, 'e': 0.019652596134051688}",20,12,15.797017735928929,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.2, 'e': 0.019357807192040912}",25,10,26.770587084623294,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.2, 'e': 0.019067440084160298}",20,6,24.144931291067504,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.2, 'e': 0.018781428482897895}",25,14,19.655293867993223,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.2, 'e': 0.018499707055654426}",20,11,16.207432059216938,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.2, 'e': 0.01822221144981961}",20,13,14.104376163729938,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.2, 'e': 0.017948878278072317}",30,20,21.359120664748698,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.2, 'e': 0.01767964510390123}",25,9,27.793450169576374,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.2, 'e': 0.01741445042734271}",25,10,24.7723503454041,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.2, 'e': 0.01715323367093257}",30,20,9.059838613158586,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.2, 'e': 0.01689593516586858}",20,10,19.436523582578346,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.2, 'e': 0.016642496138380553}",25,13,19.99442442499167,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.2, 'e': 0.016392858696304843}",25,13,23.352891425319108,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.2, 'e': 0.01614696581586027}",35,22,24.72427278655716,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.2, 'e': 0.01590476132862237}",25,10,-17.319700928721986,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
276,False,"{'a': 0.2, 'e': 0.01566618990869303}",30,16,23.44238435646034,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.2, 'e': 0.015431197060062636}",25,12,26.47772949843665,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.2, 'e': 0.015199729104161695}",20,13,13.74414857176587,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.2, 'e': 0.01497173316759927}",30,18,26.731464864880206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.2, 'e': 0.014747157170085281}",35,25,17.90844512986329,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.2, 'e': 0.014525949812534002}",25,11,25.36856215783768,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.2, 'e': 0.014308060565345991}",20,8,22.558170416390812,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.2, 'e': 0.0140934396568658}",25,15,8.262935540491732,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.2, 'e': 0.013882038062012814}",25,11,28.46301917150859,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.2, 'e': 0.013673807491082622}",25,13,21.85298713699441,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.2, 'e': 0.013468700378716383}",25,0,-0.9530730091243833,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
287,False,"{'a': 0.2, 'e': 0.013266669873035637}",20,7,11.130998745053418,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
288,False,"{'a': 0.2, 'e': 0.013067669824940101}",25,19,10.973918319580402,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.2, 'e': 0.012871654777566}",20,2,31.734260576803884,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.2, 'e': 0.01267857995590251}",25,16,14.962567200381509,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.2, 'e': 0.012488401256563973}",30,13,37.62992272117945,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.2, 'e': 0.012301075237715512}",20,12,15.011536908737604,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.2, 'e': 0.01211655910914978}",30,22,13.472522189208961,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.2, 'e': 0.011934810722512533}",20,9,23.354990840507707,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.2, 'e': 0.011755788561674845}",25,17,2.925719702669571,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
296,False,"{'a': 0.2, 'e': 0.011579451733249722}",20,14,11.036506937581349,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.2, 'e': 0.011405759957250976}",25,16,15.97145419346028,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.2, 'e': 0.01123467355789221}",25,11,30.33114175590517,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.2, 'e': 0.011066153454523827}",25,18,16.480289184649887,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
